iter	Passed	Remaining
0	0	58
1	1	57
2	1	53
3	2	50
4	2	51
5	3	53
6	3	52
7	4	51
8	5	50
9	5	50
10	6	49
11	6	48
12	7	47
13	7	46
14	8	46
15	8	45
16	9	45
17	9	44
18	10	44
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	40
25	14	39
26	14	39
27	14	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	19	36
35	20	36
36	21	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	25	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	42	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	55	0
99	56	0
